Timestamp; Requests by Dispatcher; Read by Dispatcher; Read Queue;  Remaining Q1; Remaining Q2; Remaining Q3; Remaining Q4; Remaining queue expired
24273;683;199;2;Remaining Q0;Remaining Q0;Remaining Q275;Remaining Q6124;0
24274;617;275;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6124;0
24277;409;409;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q5715;0
25286;533;83;1;Remaining Q0;Remaining Q168;Remaining Q287;Remaining Q7003;0
25287;717;168;2;Remaining Q0;Remaining Q0;Remaining Q287;Remaining Q7003;0
25289;682;287;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7003;0
25291;462;462;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6541;0
26298;533;69;1;Remaining Q0;Remaining Q112;Remaining Q166;Remaining Q7343;0
26300;731;112;2;Remaining Q0;Remaining Q0;Remaining Q166;Remaining Q7343;0
26301;752;166;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7343;0
26304;653;653;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6690;0
27298;533;26;1;Remaining Q0;Remaining Q42;Remaining Q75;Remaining Q7058;0
27300;774;42;2;Remaining Q0;Remaining Q0;Remaining Q75;Remaining Q7058;0
27302;865;75;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7058;0
27304;857;857;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6201;0
28308;533;45;1;Remaining Q0;Remaining Q105;Remaining Q158;Remaining Q6893;0
28310;755;105;2;Remaining Q0;Remaining Q0;Remaining Q158;Remaining Q6893;0
28312;783;158;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6893;0
28314;692;692;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q6201;0
29319;533;81;1;Remaining Q0;Remaining Q214;Remaining Q316;Remaining Q7590;0
29321;719;214;2;Remaining Q0;Remaining Q0;Remaining Q316;Remaining Q7590;0
29324;638;316;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7590;0
29326;389;389;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7201;0
30331;533;88;1;Remaining Q0;Remaining Q181;Remaining Q274;Remaining Q8555;0
30333;712;181;2;Remaining Q0;Remaining Q0;Remaining Q274;Remaining Q8555;0
30336;664;274;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q8555;0
30338;457;457;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q8098;0
31340;533;43;1;Remaining Q0;Remaining Q81;Remaining Q123;Remaining Q8684;0
31342;757;81;2;Remaining Q0;Remaining Q0;Remaining Q123;Remaining Q8684;0
31343;809;123;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q8684;0
31346;753;753;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7931;0
32353;533;54;1;Remaining Q0;Remaining Q106;Remaining Q148;Remaining Q8623;0
32355;746;106;2;Remaining Q0;Remaining Q0;Remaining Q148;Remaining Q8623;0
32357;773;148;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q8623;0
32359;692;692;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q7931;0
33357;533;85;1;Remaining Q0;Remaining Q179;Remaining Q283;Remaining Q9262;0
33360;669;283;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q9262;0
33359;715;179;2;Remaining Q0;Remaining Q0;Remaining Q283;Remaining Q9262;0
33362;453;453;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q8809;0
34371;533;73;1;Remaining Q0;Remaining Q139;Remaining Q198;Remaining Q9783;0
34372;727;139;2;Remaining Q0;Remaining Q0;Remaining Q198;Remaining Q9783;0
34374;721;198;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q9783;0
34377;590;590;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q9193;0
35377;533;109;1;Remaining Q0;Remaining Q191;Remaining Q277;Remaining Q10374;0
35379;691;191;2;Remaining Q0;Remaining Q0;Remaining Q277;Remaining Q10374;0
35380;633;277;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q10374;0
35382;423;423;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q9951;0
36390;533;85;1;Remaining Q0;Remaining Q188;Remaining Q273;Remaining Q11290;0
36391;715;188;2;Remaining Q0;Remaining Q0;Remaining Q273;Remaining Q11290;0
36393;660;273;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11290;0
36395;454;454;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q10836;0
37401;533;70;1;Remaining Q0;Remaining Q129;Remaining Q170;Remaining Q11724;0
37404;730;129;2;Remaining Q0;Remaining Q0;Remaining Q170;Remaining Q11724;0
37408;734;170;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11724;0
37410;631;631;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11093;0
38412;533;65;1;Remaining Q0;Remaining Q123;Remaining Q208;Remaining Q12018;0
38415;735;123;2;Remaining Q0;Remaining Q0;Remaining Q208;Remaining Q12018;0
38417;745;208;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q12018;0
38420;604;604;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11414;0
39425;533;54;1;Remaining Q0;Remaining Q97;Remaining Q138;Remaining Q12125;0
39428;746;97;2;Remaining Q0;Remaining Q0;Remaining Q138;Remaining Q12125;0
39429;782;138;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q12125;0
39431;711;711;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11414;0
40437;533;65;1;Remaining Q0;Remaining Q107;Remaining Q160;Remaining Q12268;0
40440;735;107;2;Remaining Q0;Remaining Q0;Remaining Q160;Remaining Q12268;0
40441;761;160;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q12268;0
40443;668;668;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q11600;0
41449;533;75;1;Remaining Q0;Remaining Q189;Remaining Q264;Remaining Q12909;0
41451;725;189;2;Remaining Q0;Remaining Q0;Remaining Q264;Remaining Q12909;0
41453;669;264;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q12909;0
41455;472;472;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q12437;0
42462;533;110;1;Remaining Q0;Remaining Q197;Remaining Q255;Remaining Q13790;0
42465;690;197;2;Remaining Q0;Remaining Q0;Remaining Q255;Remaining Q13790;0
42467;626;255;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q13790;0
42470;438;438;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q13352;0
43461;533;115;1;Remaining Q0;Remaining Q210;Remaining Q285;Remaining Q14742;0
43463;685;210;2;Remaining Q0;Remaining Q0;Remaining Q285;Remaining Q14742;0
43465;608;285;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14742;0
43467;390;390;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14352;0
44475;533;61;1;Remaining Q0;Remaining Q108;Remaining Q185;Remaining Q15138;0
44476;739;108;2;Remaining Q0;Remaining Q0;Remaining Q185;Remaining Q15138;0
44478;764;185;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15138;0
44479;646;646;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14492;0
45477;533;46;1;Remaining Q0;Remaining Q106;Remaining Q135;Remaining Q15107;0
45478;754;106;2;Remaining Q0;Remaining Q0;Remaining Q135;Remaining Q15107;0
45480;781;135;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15107;0
45482;713;713;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14394;0
46490;533;78;1;Remaining Q0;Remaining Q150;Remaining Q226;Remaining Q15477;0
46492;722;150;2;Remaining Q0;Remaining Q0;Remaining Q226;Remaining Q15477;0
46494;705;226;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15477;0
46496;546;546;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14931;0
47506;533;23;1;Remaining Q0;Remaining Q51;Remaining Q74;Remaining Q15290;0
47507;777;51;2;Remaining Q0;Remaining Q0;Remaining Q74;Remaining Q15290;0
47508;859;74;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15290;0
47510;852;852;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14438;0
48518;533;96;1;Remaining Q0;Remaining Q194;Remaining Q286;Remaining Q15722;0
48519;704;194;2;Remaining Q0;Remaining Q0;Remaining Q286;Remaining Q15722;0
48521;643;286;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15722;0
48522;424;424;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15298;0
49519;533;44;1;Remaining Q0;Remaining Q67;Remaining Q87;Remaining Q15714;0
49521;756;67;2;Remaining Q0;Remaining Q0;Remaining Q87;Remaining Q15714;0
49522;822;87;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15714;0
49523;802;802;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14912;0
50532;533;27;1;Remaining Q0;Remaining Q29;Remaining Q40;Remaining Q15136;0
50533;773;29;2;Remaining Q0;Remaining Q0;Remaining Q40;Remaining Q15136;0
50536;877;40;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15136;0
50537;904;904;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14232;0
51534;533;65;1;Remaining Q0;Remaining Q146;Remaining Q216;Remaining Q15171;0
51535;735;146;2;Remaining Q0;Remaining Q0;Remaining Q216;Remaining Q15171;0
51537;722;216;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15171;0
51538;573;573;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14598;0
52536;533;60;1;Remaining Q0;Remaining Q141;Remaining Q193;Remaining Q15448;0
52538;740;141;2;Remaining Q0;Remaining Q0;Remaining Q193;Remaining Q15448;0
52539;732;193;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15448;0
52540;606;606;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14842;0
53551;533;47;1;Remaining Q0;Remaining Q99;Remaining Q127;Remaining Q15515;0
53552;753;99;2;Remaining Q0;Remaining Q0;Remaining Q127;Remaining Q15515;0
53554;787;127;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15515;0
53555;727;727;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14788;0
54565;533;61;1;Remaining Q0;Remaining Q145;Remaining Q221;Remaining Q15756;0
54566;739;145;2;Remaining Q0;Remaining Q0;Remaining Q221;Remaining Q15756;0
54568;727;221;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15756;0
54570;573;573;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15183;0
55576;533;80;1;Remaining Q0;Remaining Q185;Remaining Q235;Remaining Q16367;0
55578;720;185;2;Remaining Q0;Remaining Q0;Remaining Q235;Remaining Q16367;0
55579;668;235;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q16367;0
55580;500;500;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15867;0
56591;533;104;1;Remaining Q0;Remaining Q204;Remaining Q289;Remaining Q17270;0
56592;696;204;2;Remaining Q0;Remaining Q0;Remaining Q289;Remaining Q17270;0
56594;625;289;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17270;0
56595;403;403;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q16867;0
57601;533;92;1;Remaining Q0;Remaining Q217;Remaining Q275;Remaining Q18283;0
57603;708;217;2;Remaining Q0;Remaining Q0;Remaining Q275;Remaining Q18283;0
57604;624;275;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18283;0
57606;416;416;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17867;0
58615;533;98;1;Remaining Q0;Remaining Q213;Remaining Q307;Remaining Q19199;50
58616;702;213;2;Remaining Q0;Remaining Q0;Remaining Q307;Remaining Q19199;50
58618;622;307;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q19199;50
58619;382;382;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18817;50
59668;533;95;1;Remaining Q0;Remaining Q189;Remaining Q304;Remaining Q19046;1233
59670;705;189;2;Remaining Q0;Remaining Q0;Remaining Q304;Remaining Q19046;1233
59671;649;304;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q19046;1233
59673;412;412;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18634;1233
60633;533;45;1;Remaining Q0;Remaining Q92;Remaining Q176;Remaining Q19203;1410
60635;755;92;2;Remaining Q0;Remaining Q0;Remaining Q176;Remaining Q19203;1410
60637;796;176;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q19203;1410
60638;687;687;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18516;1410
61659;533;53;1;Remaining Q0;Remaining Q64;Remaining Q124;Remaining Q18216;2234
61661;747;64;2;Remaining Q0;Remaining Q0;Remaining Q124;Remaining Q18216;2234
61663;816;124;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18216;2234
61665;759;759;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17457;2234
62675;533;67;1;Remaining Q0;Remaining Q177;Remaining Q216;Remaining Q17618;3088
62678;733;177;2;Remaining Q0;Remaining Q0;Remaining Q216;Remaining Q17618;3088
62681;689;216;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17618;3088
62684;540;540;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17078;3088
63663;533;94;1;Remaining Q0;Remaining Q144;Remaining Q220;Remaining Q18116;3112
63665;706;144;2;Remaining Q0;Remaining Q0;Remaining Q220;Remaining Q18116;3112
63666;695;220;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18116;3112
63669;542;542;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17574;3112
64675;533;93;1;Remaining Q0;Remaining Q167;Remaining Q241;Remaining Q18689;3131
64677;707;167;2;Remaining Q0;Remaining Q0;Remaining Q241;Remaining Q18689;3131
64679;673;241;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18689;3131
64680;499;499;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18190;3131
65690;533;31;1;Remaining Q0;Remaining Q61;Remaining Q98;Remaining Q18060;3684
65691;769;61;2;Remaining Q0;Remaining Q0;Remaining Q98;Remaining Q18060;3684
65693;841;98;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18060;3684
65694;810;810;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17250;3684
66690;533;85;1;Remaining Q0;Remaining Q194;Remaining Q301;Remaining Q18670;3684
66691;715;194;2;Remaining Q0;Remaining Q0;Remaining Q301;Remaining Q18670;3684
66693;654;301;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18670;3684
66695;420;420;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18250;3684
67705;533;30;1;Remaining Q0;Remaining Q60;Remaining Q99;Remaining Q18320;4053
67707;770;60;2;Remaining Q0;Remaining Q0;Remaining Q99;Remaining Q18320;4053
67709;843;99;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18320;4053
67711;811;811;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17509;4053
68718;533;56;1;Remaining Q0;Remaining Q111;Remaining Q125;Remaining Q18216;4053
68721;744;111;2;Remaining Q0;Remaining Q0;Remaining Q125;Remaining Q18216;4053
68722;766;125;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18216;4053
68724;708;708;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17508;4053
69731;533;16;1;Remaining Q0;Remaining Q33;Remaining Q44;Remaining Q17757;4053
69732;784;33;2;Remaining Q0;Remaining Q0;Remaining Q44;Remaining Q17757;4053
69735;884;129;3;Remaining Q34;Remaining Q42;Remaining Q0;Remaining Q18090;4053
69737;822;822;4;Remaining Q34;Remaining Q42;Remaining Q0;Remaining Q17268;4053
70744;533;34;1;Remaining Q0;Remaining Q42;Remaining Q0;Remaining Q17268;4053
70746;766;42;2;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17268;4053
70748;857;167;3;Remaining Q49;Remaining Q87;Remaining Q0;Remaining Q17897;4053
70750;757;757;4;Remaining Q49;Remaining Q87;Remaining Q0;Remaining Q17140;4053
71755;533;49;1;Remaining Q0;Remaining Q87;Remaining Q0;Remaining Q17140;4053
71756;751;87;2;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17140;4053
71761;797;154;3;Remaining Q57;Remaining Q112;Remaining Q0;Remaining Q17817;4053
71764;710;710;4;Remaining Q57;Remaining Q112;Remaining Q0;Remaining Q17107;4053
72769;533;116;1;Remaining Q0;Remaining Q226;Remaining Q141;Remaining Q17793;4053
72771;684;226;2;Remaining Q0;Remaining Q0;Remaining Q141;Remaining Q17793;4053
72773;591;228;3;Remaining Q29;Remaining Q50;Remaining Q0;Remaining Q18166;4053
72775;430;430;4;Remaining Q29;Remaining Q50;Remaining Q0;Remaining Q17736;4053
73781;533;60;1;Remaining Q0;Remaining Q105;Remaining Q84;Remaining Q18119;4054
73783;740;105;2;Remaining Q0;Remaining Q0;Remaining Q84;Remaining Q18119;4054
73784;768;84;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q18119;4054
73785;751;751;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q17368;4054
74793;533;41;1;Remaining Q0;Remaining Q73;Remaining Q125;Remaining Q17656;4298
74795;759;73;2;Remaining Q0;Remaining Q0;Remaining Q125;Remaining Q17656;4298
74797;819;207;3;Remaining Q30;Remaining Q54;Remaining Q0;Remaining Q18096;4298
74799;679;679;4;Remaining Q30;Remaining Q54;Remaining Q0;Remaining Q17417;4298
75861;533;30;1;Remaining Q0;Remaining Q54;Remaining Q0;Remaining Q15724;5991
75864;770;54;2;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15724;5991
75866;849;168;3;Remaining Q49;Remaining Q97;Remaining Q0;Remaining Q16410;5991
75869;748;748;4;Remaining Q49;Remaining Q97;Remaining Q0;Remaining Q15662;5991
76857;533;97;1;Remaining Q0;Remaining Q207;Remaining Q144;Remaining Q14934;7417
76859;703;207;2;Remaining Q0;Remaining Q0;Remaining Q144;Remaining Q14934;7417
76860;629;144;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14934;7417
76862;552;552;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14382;7417
77820;533;89;1;Remaining Q0;Remaining Q179;Remaining Q298;Remaining Q15488;7558
77823;711;179;2;Remaining Q0;Remaining Q0;Remaining Q298;Remaining Q15488;7558
77825;665;298;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15488;7558
77827;434;434;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15054;7558
78821;533;20;1;Remaining Q0;Remaining Q52;Remaining Q58;Remaining Q15136;7771
78824;780;52;2;Remaining Q0;Remaining Q0;Remaining Q58;Remaining Q15136;7771
78825;861;58;3;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q15136;7771
78827;870;870;4;Remaining Q0;Remaining Q0;Remaining Q0;Remaining Q14266;7771
